theta,seed,m_tau50,m_tau70,m_tau90,m_mean,d_a,d_b,d_mean,d_avg_arm,loss_parent_a,loss_parent_b,self_merge_d,params_merged
0.0,0,0.8857421875,0.5908203125,0.27734375,0.7326390743255615,0.6628549695014954,1.183380663394928,0.9231178164482117,0.9959136247634888,0.6937351822853088,0.6826110482215881,0.000985652208328247,405504
0.0,1,0.875,0.505859375,0.1884765625,0.7079415917396545,0.6249058246612549,0.714335024356842,0.6696204245090485,0.7437889277935028,0.6842197179794312,0.681616485118866,0.0004018843173980713,405504
0.0,2,0.900390625,0.5546875,0.1875,0.7197785973548889,0.6888290047645569,0.7374120354652405,0.7131205201148987,0.7521620988845825,0.6815922856330872,0.6807951331138611,0.0019362866878509521,405504
0.1,0,0.88671875,0.591796875,0.2705078125,0.7339338064193726,0.6467325687408447,1.159610092639923,0.9031713306903839,0.9794850051403046,0.6858166456222534,0.6850045323371887,0.0009097158908843994,405504
0.1,1,0.880859375,0.5078125,0.197265625,0.7142382860183716,0.6029952764511108,0.6417818069458008,0.6223885416984558,0.7309943437576294,0.6842615604400635,0.6813124418258667,0.0008632242679595947,405504
0.1,2,0.8828125,0.5361328125,0.1962890625,0.7158199548721313,0.6671572923660278,0.6650225520133972,0.6660899221897125,0.6991146504878998,0.6885806322097778,0.6799315810203552,0.0028118789196014404,405504
0.2,0,0.880859375,0.5556640625,0.26953125,0.7261375784873962,0.5458398461341858,1.079648494720459,0.8127441704273224,0.9348880350589752,0.6907593607902527,0.6839452981948853,0.00194549560546875,405504
0.2,1,0.869140625,0.5322265625,0.1806640625,0.7063754200935364,0.5147943496704102,0.5450899600982666,0.5299421548843384,0.6933848857879639,0.6846026182174683,0.6798299551010132,0.001948028802871704,405504
0.2,2,0.818359375,0.50390625,0.1689453125,0.6799063086509705,0.5895810127258301,0.5536479949951172,0.5716145038604736,0.6090816855430603,0.6833083629608154,0.680396318435669,0.0019932985305786133,405504
0.3,0,0.8701171875,0.556640625,0.2783203125,0.7297285795211792,0.5786479115486145,1.1461762189865112,0.8624120652675629,0.9054805338382721,0.687252938747406,0.6810463666915894,0.0028657615184783936,405504
0.3,1,0.8779296875,0.5263671875,0.16796875,0.7098735570907593,0.5077220797538757,0.5027136206626892,0.5052178502082825,0.6187563538551331,0.6875281929969788,0.684700071811676,0.001125633716583252,405504
0.3,2,0.8681640625,0.51953125,0.1806640625,0.7005869150161743,0.5687513947486877,0.5762084126472473,0.5724799036979675,0.6103218197822571,0.6846807599067688,0.6799034476280212,0.0016238689422607422,405504
0.4,0,0.845703125,0.5703125,0.2734375,0.7234948873519897,0.452442467212677,1.0158239603042603,0.7341332137584686,0.8734174072742462,0.6876434683799744,0.6806783676147461,0.0031192004680633545,405504
0.4,1,0.888671875,0.5341796875,0.1767578125,0.7144150733947754,0.4192887544631958,0.46856915950775146,0.44392895698547363,0.5574424266815186,0.6853655576705933,0.6821883916854858,0.0008977055549621582,405504
0.4,2,0.8779296875,0.5595703125,0.1826171875,0.7144488096237183,0.466838002204895,0.46973752975463867,0.46828776597976685,0.5537866950035095,0.6818017959594727,0.6812223196029663,0.0014550983905792236,405504
0.5,0,0.8798828125,0.603515625,0.296875,0.7420634031295776,0.3979334831237793,1.0664998292922974,0.7322166562080383,0.8434839844703674,0.6877554655075073,0.6830596923828125,0.001431971788406372,405504
