dataset,theta,seed,m_tau50,m_tau70,m_tau90,m_mean,d_a,d_b,d_mean,d_avg_arm,loss_parent_a,loss_parent_b,self_merge_d,params_merged
large_vocab,0.0,0,0.841796875,0.443359375,0.13671875,0.6773033142089844,0.7133072018623352,0.7124375700950623,0.7128723859786987,0.7074121832847595,0.8377436995506287,0.8297637104988098,0.0014365613460540771,409600
large_vocab,0.0,1,0.884765625,0.5,0.1884765625,0.7076860666275024,0.6822366118431091,0.7774975895881653,0.7298671007156372,0.8441678285598755,0.8372030854225159,0.8307276368141174,0.0008532106876373291,409600
large_vocab,0.0,2,0.8681640625,0.548828125,0.2177734375,0.7187079191207886,0.6082181334495544,0.7084183692932129,0.6583182513713837,0.6939579546451569,0.8257265686988831,0.8154062032699585,0.0021893084049224854,409600
large_vocab,0.1,0,0.837890625,0.419921875,0.140625,0.6750860810279846,0.6566065549850464,0.7646303176879883,0.7106184363365173,0.6955440044403076,0.8420085906982422,0.8292008638381958,0.0012387335300445557,409600
large_vocab,0.1,1,0.8818359375,0.4990234375,0.1728515625,0.7056280970573425,0.6497460007667542,0.811927855014801,0.7308369278907776,0.7995370626449585,0.8330147862434387,0.8430220484733582,0.0009069144725799561,409600
large_vocab,0.1,2,0.869140625,0.5634765625,0.21484375,0.7193601131439209,0.573311448097229,0.6977013945579529,0.6355064213275909,0.688017338514328,0.8296252489089966,0.8137968182563782,0.002157241106033325,409600
large_vocab,0.2,0,0.8505859375,0.43359375,0.1376953125,0.6805925965309143,0.5550894141197205,0.7698814272880554,0.6624854207038879,0.677143394947052,0.8464899659156799,0.8297858834266663,0.0010651946067810059,409600
large_vocab,0.2,1,0.8828125,0.494140625,0.1650390625,0.7044762372970581,0.5874879956245422,0.7212831377983093,0.6543855667114258,0.7373095750808716,0.831022322177887,0.8360051512718201,0.0011452734470367432,409600
large_vocab,0.2,2,0.888671875,0.5771484375,0.2294921875,0.7322940826416016,0.539740264415741,0.6281068921089172,0.5839235782623291,0.6264835596084595,0.8260341286659241,0.8146287798881531,0.0024626851081848145,409600
large_vocab,0.3,0,0.8271484375,0.431640625,0.1298828125,0.6721600294113159,0.5704792737960815,0.6182093024253845,0.594344288110733,0.6156174838542938,0.8487800359725952,0.8283870816230774,0.0017268955707550049,409600
large_vocab,0.3,1,0.912109375,0.5576171875,0.1875,0.7234667539596558,0.5159941911697388,0.6225864291191101,0.5692903101444244,0.6983384788036346,0.8321629762649536,0.8305714726448059,0.002402573823928833,409600
large_vocab,0.3,2,0.888671875,0.548828125,0.212890625,0.7229751348495483,0.46442049741744995,0.6178217530250549,0.5411211252212524,0.605967104434967,0.8240682482719421,0.8145565390586853,0.002326488494873047,409600
large_vocab,0.4,0,0.83984375,0.4423828125,0.1416015625,0.6830720901489258,0.5308800935745239,0.5192182064056396,0.5250491499900818,0.5277109742164612,0.840347409248352,0.8210344314575195,0.0020897090435028076,409600
large_vocab,0.4,1,0.9072265625,0.5400390625,0.1982421875,0.722761869430542,0.47712618112564087,0.6262160539627075,0.5516711175441742,0.6622205674648285,0.8346524834632874,0.8271772861480713,0.0010833442211151123,409600
